Question,A,B,C,D
Nội dung chính của tiêu chuẩn ISO 15189:2022 là gì?,Quy định các yêu cầu về quản lý tài chính của bệnh viện,"Đưa ra yêu cầu về chất lượng và năng lực đối với phòng xét nghiệm y tế, bao gồm hệ thống quản lý, quy trình xét nghiệm và đánh giá công nhận",Chỉ áp dụng cho thử nghiệm lâm sàng thuốc,Hướng dẫn thiết kế thiết bị y tế
"Theo tiêu chuẩn, “khoảng tham chiếu sinh học” thường được định nghĩa ở mức bao nhiêu phần trăm giá trị tập trung?",0.95,0.5,0.9,0.99
Giám đốc phòng xét nghiệm theo ISO 15189:2022 có thể ủy quyền nhiệm vụ cho ai?,Bất kỳ cá nhân bên ngoài nào,"Nhân viên có trình độ và năng lực, được lập thành văn bản ủy quyền",Chỉ ban giám hiệu bệnh viện,Các cơ quan quản lý
ISO 15189:2022 yêu cầu thiết lập và theo dõi chỉ số chất lượng nào dưới đây?,Tỷ lệ bác sĩ tham gia hội chẩn,Số lượng bệnh nhân nhập viện,"Số lượng mẫu bị từ chối, số lỗi khi nhận mẫu, số báo cáo kết quả sửa, tỷ lệ trả kết quả đúng hạn",Tỷ lệ nhân viên tham gia đào tạo
"Khi lựa chọn, vận hành và bảo dưỡng thiết bị phòng xét nghiệm, yêu cầu nào sau đây là đúng theo tiêu chuẩn?","Thiết bị phải được vận hành bởi nhân viên đào tạo, được ủy quyền, có năng lực; được bảo trì theo hướng dẫn nhà sản xuất; có biện pháp ngăn điều chỉnh ngoài ý muốn; và thiết bị bị lỗi phải được dán nhãn “không hoạt động” cho đến khi xác minh chính xác","Thiết bị chỉ cần được vận hành theo hướng dẫn nhà sản xuất, không cần đào tạo hay dán nhãn khi lỗi",Thiết bị không cần bảo trì nếu không ảnh hưởng kết quả xét nghiệm,Nhân viên có thể điều chỉnh thiết bị bất cứ lúc nào nếu cần để đẩy nhanh công việc
Nội dung chính của phần tiêu chuẩn trong tài liệu Public008 là gì?,Quy định quy trình khám chữa bệnh cho bệnh nhân,"Đưa ra yêu cầu về cơ cấu, quản trị, nhân lực, cơ sở vật chất, thiết bị, thuốc thử và quá trình xét nghiệm trong phòng xét nghiệm y tế",Mô tả chi tiết hệ thống tài chính của bệnh viện,Hướng dẫn xây dựng nhà máy y tế
"Nếu phòng xét nghiệm có 500 mẫu xét nghiệm trong tháng, trong đó có 25 mẫu bị từ chối, tỷ lệ từ chối mẫu là bao nhiêu?",0.05,0.025,0.1,0.075
Học phần Những nguyên lý cơ bản của Chủ nghĩa Mác – Lênin thuộc khối kiến thức nào?,Giáo dục đại cương,Tin học cơ sở,Công nghệ phần mềm,Hệ thống thông tin
Học phần Nhập môn ngành CNTT trang bị cho sinh viên những kỹ năng nào ngoài kiến thức chuyên ngành?,Kỹ năng nghiên cứu khoa học nâng cao,Kỹ năng quản lý dự án phức tạp,"Kỹ năng mềm như làm việc nhóm, thuyết trình, tìm kiếm thông tin, phương pháp học đại học",Kỹ năng phân tích tài chính
"Học phần nào vừa giúp sinh viên năm nhất làm quen với môi trường đại học và kiến thức cơ bản ngành CNTT, vừa rèn luyện các kỹ năng mềm và chuẩn mực đạo đức cần thiết để trở thành kỹ sư công nghệ thông tin?",Toán 1,Toán 2,Nhập môn ngành CNTT,Đại số và cấu trúc đại số
Nội dung chính của tài liệu Public009 là gì?,Giới thiệu lịch sử phát triển ngành CNTT,"Mô tả vắn tắt nội dung và khối lượng các học phần bắt buộc, cơ sở và chuyên ngành trong chương trình đào tạo CNTT",Phân tích xu hướng việc làm CNTT,Đề xuất cải tiến phương pháp giảng dạy CNTT
"Nếu một học phần có cấu trúc 3(2:1:6) thì số tiết lý thuyết, thực hành và tự học lần lượt là bao nhiêu?","3 LT, 3 TH, 6 tự học","2 LT, 2 TH, 4 tự học","2 LT, 1 TH, 6 tự học","3 LT, 0 TH, 6 tự học"
"Theo tiêu chuẩn ISO 15189:2022, việc lưu giữ hồ sơ phòng xét nghiệm nhằm mục đích chính nào?",Đảm bảo nhân viên phòng xét nghiệm có đủ kỹ năng,Giảm chi phí vận hành,Truy xuất được kết quả xét nghiệm trong khoảng thời gian cần thiết hoặc theo quy định,Đình chỉ hoạt động của phòng xét nghiệm
"Khi xảy ra sự không phù hợp, hành động đầu tiên mà phòng xét nghiệm phải thực hiện theo ISO 15189:2022 là gì?",Kiểm soát và khắc phục sự không phù hợp,Đình chỉ hoạt động của phòng xét nghiệm vô thời hạn,Giảm chi phí vận hành,Miễn trừ trách nhiệm cho nhân viên gây lỗi
"Theo hướng dẫn về kiểm soát hồ sơ, phòng xét nghiệm phải đảm bảo điều gì khi sửa đổi hồ sơ?","Các sửa đổi phải có khả năng truy nguyên đến phiên bản trước hoặc các quan sát ban đầu, bao gồm ngày, giờ, nội dung thay đổi và nhân viên thực hiện","Chỉ cần lưu trữ phiên bản mới của hồ sơ, không cần lưu dữ liệu gốc","Chỉ cần lưu ngày và giờ của phiên bản mới, không cần thông tin về thay đổi",Không cần lưu hồ sơ nếu chỉ là sửa đổi nhỏ
Nội dung chính của phần 8 trong tiêu chuẩn ISO 15189:2022 là gì?,Yêu cầu về cơ sở vật chất và thiết bị,Quy định về kỹ thuật xét nghiệm,"Yêu cầu hệ thống quản lý, bao gồm tài liệu, hồ sơ, kiểm soát rủi ro, cải tiến, đánh giá và xem xét",Quy định về đạo đức nghề nghiệp của nhân viên phòng xét nghiệm
"Nếu phòng xét nghiệm thiết lập cấu trúc quản lý 5 mục tiêu và mỗi mục tiêu yêu cầu ít nhất 2 hành động cải tiến, tổng số hành động tối thiểu là bao nhiêu?",5,10,15,20
Mạng GAN (Global Area Network) là gì?,Mạng cục bộ trong phạm vi nhỏ,Mạng diện rộng trong một quốc gia,"Mạng toàn cầu, kết hợp nhiều mạng con, ví dụ Internet",Mạng kết nối 2–3 máy tính
Thành phần nào có chức năng giao tiếp giữa máy tính và đường truyền trong mạng máy tính?,Bộ định tuyến (Router),Vỉ mạng (Network Interface Card – NIC),Thiết bị đầu cuối (Terminal),Phần mềm ứng dụng
Mạng máy tính được phân loại theo những tiêu chí nào và Internet ban đầu ra đời từ mục đích gì?,Mạng được phân loại theo quan hệ giữa các máy và theo quy mô địa lý; Internet ban đầu ra đời từ mục đích quân sự của Bộ Quốc phòng Mỹ,Mạng được phân loại theo tốc độ và dung lượng; Internet ban đầu ra đời để phục vụ thương mại điện tử,Mạng được phân loại theo số lượng người dùng và chi phí; Internet ban đầu ra đời để phục vụ cho các công ty công nghệ,Mạng được phân loại theo loại đường truyền và phần mềm; Internet ban đầu ra đời để phục vụ giáo dục phổ thôngComplete
Nội dung chính của tài liệu Public011 là gì?,Giới thiệu lịch sử Internet toàn cầu,"Trình bày khái niệm, lịch sử phát triển, phân loại, thành phần, kiến trúc mạng máy tính và Internet",Hướng dẫn cài đặt phần mềm mạng,Phân tích mô hình OSI chi tiết
"Nếu một mạng LAN có bán kính 500m và kết nối 200 máy tính trong một tòa nhà, thì mạng này thuộc loại nào?",LAN (Local Area Network),WAN (Wide Area Network),GAN (Global Area Network),MAN (Metropolitan Area Network)
Hệ điều hành có nhiệm vụ gì?,Chỉ lưu trữ dữ liệu cho máy tính,"Quản lý tài nguyên, điều khiển thiết bị, quản lý chương trình và cung cấp dịch vụ cho người dùng",Tạo ra phần cứng mới,Truyền dữ liệu qua mạng
"Theo tài liệu, ký hiệu đại diện * trong tên tệp có ý nghĩa gì?",Đại diện cho một ký tự bất kỳ,Đại diện cho số bất kỳ,Đại diện cho một chuỗi ký tự bất kỳ,Đại diện cho phần mở rộng bắt buộc
Hệ điều hành có những nhiệm vụ chính nào và phiên bản Windows nào cho phép đặt tên tệp dài tới 255 ký tự?,"Quản lý tài nguyên, điều khiển thiết bị, quản lý chương trình, giao tiếp với người dùng; Windows 95",Chỉ quản lý bộ nhớ và CPU; Windows 3.0 AUTOEXEC.BAT,Chỉ khởi động máy và tắt máy; Windows NT 4.0,Quản lý thiết bị ngoại vi nhưng không quản lý tệp; Windows XP
Nội dung chính của tài liệu Public012 là gì?,Giới thiệu lịch sử phát triển phần cứng,"Trình bày khái niệm, quản lý tệp, hệ lệnh, hệ điều hành Windows (từ MS-DOS, Windows 95 đến Windows XP)",Hướng dẫn cài đặt phần mềm diệt virus,Phân tích mô hình mạng OSI
"Nếu Windows XP quản lý cho phép đặt tên tập tin dài tối đa 255 ký tự, còn MS-DOS chỉ cho phép tối đa 8 ký tự, thì Windows XP dài hơn bao nhiêu ký tự?",120 ký tự,200 ký tự,247 ký tự,300 ký tự
Thế hệ máy tính điện tử nào sử dụng bóng đèn điện tử chân không?,Thế hệ 1 (1950–1958),Thế hệ 2 (1958–1964),Thế hệ 3 (1965–1974),Thế hệ 4 (1974–nay)
Thuật ngữ “Tin học” (Informatics) lần đầu tiên được đề xuất bởi ai?,Philippe Dreyfus,Karl Steinbuch,Walter F. Bauer,Alan Turing
Thông tin khác dữ liệu ở điểm nào và quá trình xử lý thông tin theo máy tính gồm những bước nào?,"Thông tin có ý nghĩa, dữ liệu là sự kiện thô; xử lý gồm Input – Process – Output",Thông tin và dữ liệu giống nhau; xử lý chỉ có Output,"Dữ liệu có ý nghĩa, thông tin không có; xử lý chỉ có Input",Thông tin chỉ là dữ liệu lưu trữ; xử lý không cần qua các bước
Nội dung chính của tài liệu Public013 là gì?,Trình bày chi tiết về mạng máy tính,"Giới thiệu các khái niệm cơ bản về dữ liệu, thông tin, tri thức; lịch sử phát triển máy tính; khái niệm tin học, CNTT và ICT",Hướng dẫn cài đặt phần mềm,Phân tích chi tiết hệ điều hành Windows
"Nếu một máy tính thế hệ 2 có tốc độ trung bình 50.000 phép tính/giây, thì nó nhanh gấp bao nhiêu lần so với máy thế hệ 1 tốc độ trung bình 1.000 phép tính/giây?",25 lần,30 lần,50 lần,100 lần
Bit là viết tắt của từ gì?,Binary digiT,Basic information type,Binary integration tool,Base information token
"Trong hệ đếm thập lục phân, ký tự “F” biểu diễn giá trị thập phân nào?",12,14,15,16
"Trong máy tính, mọi dữ liệu được biểu diễn dưới dạng gì và đơn vị thông tin nhỏ nhất là gì?",Dưới dạng chữ cái; đơn vị nhỏ nhất là byte,Dưới dạng nhị phân (chuỗi bit); đơn vị nhỏ nhất là bit,Dưới dạng số thập phân; đơn vị nhỏ nhất là ký tự,Dưới dạng tín hiệu tương tự; đơn vị nhỏ nhất là từ
Nội dung chính của tài liệu Public014 là gì?,Giới thiệu mạng máy tính,"Trình bày biểu diễn dữ liệu trong máy tính: các hệ đếm, số nguyên, số thực, dữ liệu ký tự, số hóa tín hiệu và tính toán số học",Giới thiệu hệ điều hành Windows,Hướng dẫn lập trình Pascal
"Nếu dùng 8 bit để biểu diễn số nguyên không dấu, giá trị lớn nhất có thể biểu diễn là bao nhiêu?",128,254,255,256
Khối nào trong CPU có nhiệm vụ thực hiện các phép tính số học và logic?,Khối điều khiển (CU),Khối số học và logic (ALU),Tập thanh ghi,Bộ nhớ ngoài
Bộ nhớ nào lưu trữ chương trình hệ thống và không bị mất dữ liệu khi tắt máy?,ROM,RAM,Cache,Thanh ghi
CPU gồm những bộ phận chính nào và bộ nhớ chính của máy tính được chia thành những loại nào?,"Khối điều khiển, bộ nhớ ngoài, bàn phím; chỉ RAM","Khối điều khiển, khối tính toán số học – logic, các thanh ghi; ROM và RAM","ALU, ổ đĩa cứng, USB; chỉ ROM","Bo mạch chủ, cache, màn hình; DVD và CD"
Nội dung chính của tài liệu Public015 là gì?,Trình bày chi tiết lịch sử phát triển máy tính,"Giới thiệu cấu trúc và chức năng CPU, các loại bộ nhớ, thiết bị vào-ra và hệ thống bus trong máy tính",Hướng dẫn cài đặt phần mềm hệ thống,Phân tích hệ điều hành Windows
"Nếu một CPU có 36 bit địa chỉ, dung lượng tối đa của bộ nhớ chính mà nó quản lý được là bao nhiêu?",64 MB,64 KB,64 GB,64 TB
Tiêu chuẩn TCVN 9395:2012 áp dụng cho loại cọc nào?,Cọc đóng bê tông cốt thép có đường kính nhỏ hơn 60 cm,Cọc khoan nhồi bê tông cốt thép có đường kính ≥ 60 cm (trừ công trình địa chất đặc biệt),Cọc thép ống nhồi bê tông,Tất cả các loại cọc dùng trong xây dựng
Dung dịch khoan bentonite có vai trò chính gì trong thi công cọc khoan nhồi?,"Giữ ổn định thành hố khoan, ngăn sụt lở và đưa mùn khoan ra ngoài",Tăng khả năng chịu lực của bê tông,Làm phụ gia thay thế xi măng,Giảm độ nhớt của bê tông
"Theo TCVN 9395:2012, tiêu chuẩn này áp dụng cho loại cọc nào và từ đường kính bao nhiêu trở lên?","Cọc ép, từ 20 cm","Cọc khoan nhồi, từ 30 cm","Cọc thép, từ 25 cm","Cọc gỗ, từ 40 cm"
Nội dung chính của tiêu chuẩn TCVN 9395:2012 là gì?,Quy định thiết kế kết cấu móng,Hướng dẫn phương pháp thí nghiệm tải trọng cọc,"Quy định về thi công, kiểm tra chất lượng, nghiệm thu và an toàn lao động trong xây dựng cọc khoan nhồi",Chỉ quy định về yêu cầu an toàn trong công tác khoan
"Nếu trong quá trình khoan, cao độ dung dịch khoan phải luôn cao hơn mực nước ngầm ít nhất 1,5 m, giả sử mực nước ngầm ở -10 m thì cao độ dung dịch khoan tối thiểu phải đạt bao nhiêu?","-11,5 m","-8,5 m","-6,0 m","-5,0 m"
"Theo TCVN 5574:2018, tính toán kết cấu bê tông và bê tông cốt thép cần được thực hiện dựa trên những trạng thái giới hạn nào?",Chỉ trạng thái giới hạn thứ nhất,Trạng thái giới hạn thứ nhất và trạng thái giới hạn thứ hai,Chỉ trạng thái giới hạn thứ hai,Không yêu cầu xét trạng thái giới hạn
Các loại bê tông nào được phép sử dụng khi thiết kế kết cấu theo TCVN 5574:2018?,Bê tông nặng,Bê tông hạt nhỏ,"Bê tông nhẹ, bê tông tổ ong",Bê tông tự ứng suất
"Theo TCVN 9379:2012, tính toán kết cấu bê tông và bê tông cốt thép cần được thực hiện theo những trạng thái giới hạn nào và phải đảm bảo điều gì trong suốt thời hạn sử dụng công trình?",Trạng thái giới hạn thứ nhất và thứ hai; đảm bảo độ tin cậy của công trình,Chỉ trạng thái giới hạn thứ nhất; đảm bảo hình thành vết nứt nhỏ,Trạng thái giới hạn thứ hai và tải trọng tiêu chuẩn; đảm bảo không có biến dạng,Trạng thái giới hạn về biến dạng; đảm bảo không xuất hiện ứng suất trước
Nội dung chính của tiêu chuẩn TCVN 5574:2018 là gì?,Quy định về phương pháp thí nghiệm vật liệu bê tông,"Nguyên tắc thiết kế, tính toán độ bền, ổn định, biến dạng, nứt và quy định về vật liệu cho kết cấu bê tông, bê tông cốt thép",Chỉ quy định về cấu kiện bê tông dự ứng lực,Hướng dẫn thi công và nghiệm thu công trình bê tông
"Nếu một dầm bê tông cốt thép có nhịp 6 m, theo TCVN 5574:2018 độ võng tối đa cho phép là 1/150 nhịp, giá trị võng lớn nhất cho phép là bao nhiêu?",20 mm,30 mm,40 mm,50 mm
Tiêu chuẩn TCVN 5574:2018 áp dụng cho những loại bê tông nào?,Bê tông nặng,Bê tông hạt nhỏ,"Bê tông nhẹ, bê tông tổ ong",Bê tông tự ứng suất
Tiêu chuẩn này không áp dụng để thiết kế loại kết cấu nào sau đây?,Kết cấu nhà và công trình chịu nhiệt độ từ -70°C đến +50°C,Kết cấu bê tông cốt thép nhà dân dụng thông thường,"Kết cấu liên hợp thép – bê tông, bê tông cốt sợi, công trình thủy công, cầu…",Các công trình không xâm thực thông thường
"Theo TCVN 9379:2012, tính toán kết cấu bê tông và bê tông cốt thép cần được tiến hành theo những trạng thái giới hạn nào và phải đảm bảo điều gì trong suốt thời hạn sử dụng công trình?",Trạng thái giới hạn thứ nhất và thứ hai; đảm bảo độ tin cậy của công trình,Chỉ trạng thái giới hạn thứ nhất; đảm bảo không xuất hiện vết nứt,Trạng thái giới hạn thứ hai; đảm bảo công trình không có biến dạng,"Trạng thái giới hạn ổn định vị trí; đảm bảo không trượt, không lật"
Nội dung chính của phần yêu cầu chung đối với kết cấu bê tông và bê tông cốt thép trong TCVN 5574:2018 là gì?,Hướng dẫn chi tiết về phương pháp thí nghiệm cường độ bê tông,"Quy định các yêu cầu về an toàn, điều kiện sử dụng, độ bền lâu, yêu cầu cấu tạo và tính toán",Chỉ quy định về cốt thép dự ứng lực,Các yêu cầu bảo trì công trình sau khi hoàn thành
"Nếu một cấu kiện bê tông làm việc trong môi trường xâm thực, theo TCVN 5574:2018, cần đảm bảo thêm yêu cầu gì ngoài an toàn và sử dụng bình thường?",Không cần bổ sung yêu cầu nào,Giảm kích thước tiết diện để tiết kiệm vật liệu,Yêu cầu về độ bền lâu và bảo vệ chống xâm thực,Chỉ cần tăng cường số lượng cốt thép
Hệ thống chống sét theo TCVN 9385:2012 bao gồm mấy phần chính?,2,3,4,5
Bộ phận nào trong hệ thống chống sét có nhiệm vụ thu sét trực tiếp?,"Hệ thống thu sét (kim thu sét, dây dẫn trên mái…)",Hệ thống nối đất,Hệ thống dây dẫn sét,Hệ thống cân bằng điện thế
Quốc gia nào là nước đầu tiên công bố Kế hoạch chiến lược trí tuệ nhân tạo quốc gia và vào năm nào?,"Trung Quốc, năm 2017","Mỹ, năm 2016","Pháp, năm 2018","Nhật Bản, năm 2019"
Nội dung chính của TCVN 9385:2012 là gì?,Quy định về tính toán tải trọng gió,"Quy định thiết kế, thi công, kiểm tra, bảo trì hệ thống chống sét cho công trình",Chỉ hướng dẫn cách lắp đặt kim thu sét,Hướng dẫn vận hành thiết bị điện cao thế
"Một công trình cao 30 m cần bảo vệ chống sét trực tiếp. Theo bán kính bảo vệ của kim thu sét (r = 1,5h), bán kính bảo vệ tối đa là bao nhiêu?",30 m,40 m,45 m,45 m
Chiều dày màng khô của lớp phủ chống cháy được xác định bằng cách nào?,Quan sát trực quan sau khi phủ,Đo trực tiếp trên mẫu thử nghiệm bằng dụng cụ cảm ứng điện từ hoặc dòng điện xoáy,Dùng cân xác định khối lượng riêng,So sánh với mẫu chuẩn
Loại đầu đo nhiệt nào được ưu tiên sử dụng trong thử nghiệm cấu kiện thép?,Loại “J” trần không bọc,Loại “N” bọc nhựa,"Loại “T”, “N”, “K”, “J” có vỏ bọc thép không gỉ cách nhiệt bằng sợi khoáng",Loại dây dẫn thường bọc nhựa PVC
"Theo quy định, chiều dày màng khô của vật liệu bảo vệ được đo bằng nguyên tắc nào và loại đầu đo nhiệt nào được ưu tiên sử dụng khi thử nghiệm trên cấu kiện thép?",Nguyên tắc cơ học; đầu đo nhiệt loại J,Nguyên tắc quang học; đầu đo nhiệt loại N,Nguyên tắc cảm ứng điện từ hoặc dòng điện xoáy; đầu đo nhiệt loại T trong vỏ thép không gỉ cách nhiệt,Nguyên tắc thủy lực; đầu đo nhiệt loại K không cần cách nhiệt
Nội dung chính của tài liệu là gì?,Giới thiệu thiết bị thử nhiệt trong công nghiệp luyện kim,"Hướng dẫn quy trình đo chiều dày, lắp đặt đầu đo nhiệt và thử nghiệm khả năng chịu lửa của vật liệu chống cháy cho cấu kiện thép",Quy chuẩn thiết kế hệ thống điện,Tiêu chuẩn quản lý an toàn phòng cháy chữa cháy tại công trường
"Theo quy định, cần bao nhiêu phép đo chiều dày tối thiểu trên dầm chịu tải?",24 phép đo,50 phép đo,88 phép đo,100 phép đo
Bộ mã chuẩn nào đã được chọn cho tiếng Việt trong CNTT?,ASCII,Unicode,TCVN 6909,UTF-16
"Trong xử lý ngôn ngữ, bài toán nào có mục tiêu chuyển văn bản thành tiếng nói?",Nhận dạng tiếng nói (speech recognition),Trích chọn thông tin (information extraction),Tổng hợp tiếng nói (speech synthesis),Phát hiện tri thức (knowledge discovery)
